Date,Close/Last,Volume,Open,High,Low
04/11/2025,454.40,52483780,444.65,455.79,441.33
04/10/2025,446.18,108384100,453.56,455.59,432.63
04/09/2025,466.00,142876900,415.57,467.83,415.43
04/08/2025,416.06,101248100,438.16,443.1384,409.79
04/07/2025,423.69,161557000,408.66,443.14,402.39
04/04/2025,422.67,117088400,438.14,440.37,422.67
04/03/2025,450.66,70456340,456.44,460.07,450.14
04/02/2025,476.15,49894490,466.12,479.56,465.86
04/01/2025,472.70,41156230,467.30,473.63,464.42
03/31/2025,468.92,53000300,461.92,469.86,457.33
03/28/2025,468.94,46363800,479.81,480.52,468.05
03/27/2025,481.62,33469820,482.41,486.5799,480.25
03/26/2025,484.38,35043360,492.30,493.16,482.82
03/25/2025,493.46,26035240,491.39,493.62,490.42
03/24/2025,490.66,34567190,487.74,491.51,484.40
03/21/2025,480.84,42234870,474.08,481.61,472.905
03/20/2025,479.26,36780550,476.88,484.55,476.18
03/19/2025,480.89,40430330,476.81,485.33,474.87
03/18/2025,474.54,39072270,479.41,479.61,472.41
03/17/2025,482.77,41744350,479.61,485.84,477.80
03/14/2025,479.66,43563010,473.73,480.56,473.12
