strike,open,high,low,last,last_size,change,pctchange,previous,previous_date,bid,bid_size,ask,ask_size,moneyness,volume,volume_change,volume_pctchange,open_interest,open_interest_change,open_interest_pctchange,volatility,volatility_change,volatility_pctchange,theoretical,delta,gamma,theta,vega,rho,vol_oi_ratio,dte,midpoint,trade_date,call,put
368,1.04,1.18,0.5,0.62,4,-1.08,-63.53,1.7,2025-04-10,0.36,61,0.4,148,-0.1899999999999999,396,-91,-18.69,593,390,192.12,0.908,0.0574,6.75,0.38,-0.020578,0.001027,-0.238644,0.026386,-0.001252,0.67,5,0.38,2025-04-11,0,1
366,0.52,0.52,0.4,0.4,1,-0.71,-63.96,1.11,2025-04-10,0.34,76,0.38,156,-0.1899999999999999,34,-65,-65.66,313,-12,-3.69,0.9203,0.0591,6.86,0.36,-0.019376,0.000963,-0.229838,0.025072,-0.00118,0.11,5,0.36,2025-04-11,0,1
365,1.05,1.2,0.29,0.29,1,-0.77,-72.64,1.06,2025-04-10,0.33,61,0.37,159,-0.1999999999999999,956,-10720,-91.81,14291,10122,242.79,0.9262,0.0589,6.79,0.35,-0.018786,0.000932,-0.22533,0.024422,-0.001144,0.07,5,0.35,2025-04-11,0,1
364,0.77,1.17,0.38,0.38,1,-0.82,-68.33,1.2,2025-04-10,0.31,84,0.35,10,-0.1999999999999999,176,-227,-56.33,610,223,57.62,0.9278,0.0554,6.34,0.33,-0.017802,0.000888,-0.215605,0.023327,-0.001085,0.29,5,0.33,2025-04-11,0,1
363,0.91,1.16,0.28,0.33,1,-0.65,-66.33,0.98,2025-04-10,0.31,87,0.34,19,-0.1999999999999999,99,-105,-51.47,598,144,31.72,0.9377,0.0604,6.88,0.33,-0.017628,0.000872,-0.216105,0.023133,-0.001075,0.17,5,0.33,2025-04-11,0,1
362,1.05,1.05,0.45,0.46,1,-1.0,-68.49,1.46,2025-04-10,0.3,72,0.33,24,-0.1999999999999999,570,336,143.59,622,55,9.7,0.941,0.058,6.57,0.32,-0.016859,0.000836,-0.208764,0.022268,-0.001028,0.92,5,0.32,2025-04-11,0,1
361,0.95,0.95,0.45,0.45,15,-1.09,-70.78,1.54,2025-04-10,0.29,76,0.33,140,-0.2099999999999999,37,-360,-90.68,288,130,82.28,0.9486,0.0599,6.74,0.31,-0.016497,0.000814,-0.206593,0.021858,-0.001006,0.13,5,0.31,2025-04-11,0,1
360,0.84,1.08,0.25,0.3,1,-0.53,-63.86,0.83,2025-04-10,0.28,87,0.31,1,-0.2099999999999999,3788,-1171,-23.61,15062,-572,-3.66,0.9538,0.0585,6.54,0.3,-0.015941,0.000786,-0.201727,0.021225,-0.000972,0.25,5,0.3,2025-04-11,0,1
359,0.94,1.05,0.41,0.41,15,-0.59,-59.0,1.0,2025-04-10,0.27,72,0.31,133,-0.2099999999999999,191,-203,-51.52,379,236,165.03,0.9589,0.0592,6.58,0.29,-0.01539,0.000759,-0.196786,0.020595,-0.000939,0.5,5,0.29,2025-04-11,0,1
358,0.59,1.03,0.56,0.56,1,-0.88,-61.11,1.44,2025-04-10,0.26,86,0.3,133,-0.2099999999999999,243,-752,-75.58,988,734,288.98,0.9638,0.0588,6.5,0.28,-0.014846,0.000732,-0.191769,0.019967,-0.000906,0.25,5,0.28,2025-04-11,0,1
357,0.86,0.86,0.43,0.43,1,-0.64,-59.81,1.07,2025-04-10,0.25,120,0.29,134,-0.2099999999999999,235,191,434.09,407,4,0.99,0.9686,0.0584,6.41,0.27,-0.014306,0.000705,-0.186676,0.019341,-0.000873,0.58,5,0.27,2025-04-11,0,1
