contract,underlying_symbol,exp_date,expiration_type,type,strike,exchange,currency,open,high,low,last,last_size,change,pctchange,previous,previous_date,bid,bid_date,bid_size,ask,ask_date,ask_size,moneyness,volume,volume_change,volume_pctchange,open_interest,open_interest_change,open_interest_pctchange,volatility,volatility_change,volatility_pctchange,theoretical,delta,gamma,theta,vega,rho,tradetime,vol_oi_ratio,dte,midpoint,date,record_id,record_type
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,6.05,6.68,3.6,3.9,1,-1.85,-32.17,5.75,2025-04-10,3.8,2025-04-11 19:59:59,13,4.0,2025-04-11 19:59:59,7,0.03,1266,-650,-33.92,7462,184,2.53,1.3724,0.0472,3.56,3.9,-0.538329,0.050933,-0.306758,0.022577,-0.003567,2025-04-11,0.17,5,3.9,,TQQQ250417P00050000-2025-04-11,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,4.62,9.5,3.85,5.75,10,3.25,130.0,2.5,2025-04-09,5.75,2025-04-10 19:59:59,5,6.35,2025-04-10 19:59:59,10,0.08,1916,-976,-33.75,7278,555,8.26,1.3252,0.11,9.05,5.75,-0.634213,0.04449,-0.22399,0.024032,-0.005635,2025-04-10,0.26,7,6.05,,TQQQ250417P00050000-2025-04-10,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,11.05,11.7,2.28,2.5,1,-9.25,-78.72,11.75,2025-04-08,2.45,2025-04-09 19:59:59,1,2.66,2025-04-09 19:59:59,20,-0.050000000000000044,2892,-177,-5.77,6723,1855,38.11,1.2152,-0.237,-16.32,2.5,-0.352983,0.039282,-0.21755,0.028936,-0.004114,2025-04-09,0.43,8,2.56,,TQQQ250417P00050000-2025-04-09,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,6.9,13.09,5.55,11.75,1,1.18,11.16,10.57,2025-04-07,9.6,2025-04-08 19:59:59,1,13.45,2025-04-08 19:59:59,1,0.29,3069,2379,344.78,4868,16,0.33,1.4522,0.177,13.88,11.75,-0.838228,0.027765,-0.116855,0.014958,-0.007942,2025-04-08,0.63,9,11.52,,TQQQ250417P00050000-2025-04-08,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,14.0,15.55,6.15,10.57,4,0.49,4.86,10.08,2025-04-04,8.85,2025-04-07 20:00:00,5,10.45,2025-04-07 20:00:00,7,0.21,690,-711,-50.75,4852,238,5.16,1.2752,-0.029,-2.23,9.65,-0.78949,0.033293,-0.121765,0.019694,-0.008768,2025-04-07,0.14,10,9.65,,TQQQ250417P00050000-2025-04-07,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,5.55,10.08,5.0,10.08,1,6.33,168.8,3.75,2025-04-03,9.6,2025-04-04 19:59:59,2,11.05,2025-04-04 19:59:59,2,0.22,1401,-97,-6.48,4614,388,9.18,1.3042,0.2979,29.61,10.08,-0.761069,0.032045,-0.121714,0.023092,-0.010473,2025-04-04,0.3,12,10.33,,TQQQ250417P00050000-2025-04-04,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,2.83,3.75,2.18,3.75,1,2.95,368.75,0.8,2025-04-02,2.74,2025-04-03 19:59:59,1,4.0,2025-04-03 19:59:59,3,-0.010000000000000009,1498,1137,314.96,4226,64,1.54,1.0063,0.1162,13.06,3.75,-0.446075,0.039937,-0.137231,0.038936,-0.008737,2025-04-03,0.35,14,3.37,,TQQQ250417P00050000-2025-04-03,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,1.6,1.6,0.75,0.8,15,-0.28,-25.93,1.08,2025-04-01,0.7,2025-04-02 19:59:59,6,1.2,2025-04-02 19:59:59,1,-0.17000000000000004,361,-36,-9.07,4162,7,0.17,0.8901,0.0002,0.02,0.8,-0.134975,0.020085,-0.077285,0.026375,-0.003353,2025-04-02,0.09,15,0.95,,TQQQ250417P00050000-2025-04-02,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,1.5,1.81,1.08,1.08,1,-0.3,-21.74,1.38,2025-03-31,1.0,2025-04-01 20:00:01,10,1.27,2025-04-01 20:00:01,466,-0.15000000000000002,397,-1211,-75.31,4155,221,5.62,0.8899,0.0104,1.19,1.08,-0.169546,0.023143,-0.085034,0.031004,-0.004404,2025-04-01,0.1,16,1.14,,TQQQ250417P00050000-2025-04-01,options-eod
TQQQ250417P00050000,TQQQ,2025-04-17,monthly,put,50,NASDAQ,USD,2.06,2.86,1.34,1.38,10,-0.1,-6.76,1.48,2025-03-28,1.32,2025-03-31 19:59:59,1,1.5,2025-03-31 19:59:59,77,-0.13,1608,198,14.04,3934,96,2.5,0.8795,0.0179,2.08,1.38,-0.205442,0.026178,-0.089586,0.035179,-0.005558,2025-03-31,0.41,17,1.41,,TQQQ250417P00050000-2025-03-31,options-eod
