id,type,attributes.contract,attributes.underlying_symbol,attributes.exp_date,attributes.expiration_type,attributes.type,attributes.strike,attributes.exchange,attributes.currency,attributes.open,attributes.high,attributes.low,attributes.last,attributes.last_size,attributes.change,attributes.pctchange,attributes.previous,attributes.previous_date,attributes.bid,attributes.bid_date,attributes.bid_size,attributes.ask,attributes.ask_date,attributes.ask_size,attributes.moneyness,attributes.volume,attributes.volume_change,attributes.volume_pctchange,attributes.open_interest,attributes.open_interest_change,attributes.open_interest_pctchange,attributes.volatility,attributes.volatility_change,attributes.volatility_pctchange,attributes.theoretical,attributes.delta,attributes.gamma,attributes.theta,attributes.vega,attributes.rho,attributes.tradetime,attributes.vol_oi_ratio,attributes.dte,attributes.midpoint,trade_dt,expiry_dt,dte_calc
QQQ250509C00290000-2025-04-15,options-eod,QQQ250509C00290000,QQQ,2025-05-09,weekly,call,290.0,NASDAQ,USD,169.59,169.59,169.1,169.1,1,169.1,0.0,0.0,,167.32,2025-04-15 20:14:45,10,171.3,2025-04-15 20:14:45,1,0.37,2,2,0.0,0,0,0.0,0.8405,0.0,0.0,169.1,0.98705,0.000329,-0.093108,0.038175,0.186055,2025-04-15,0.0,24,169.31,2025-04-15,2025-05-09,24
QQQ250509C00483000-2025-04-15,options-eod,QQQ250509C00483000,QQQ,2025-05-09,weekly,call,483.0,NASDAQ,USD,4.08,4.08,4.08,4.08,10,-0.48,-10.53,4.56,2025-04-14,3.54,2025-04-15 20:14:58,48,3.62,2025-04-15 20:14:58,42,-0.050000000000000044,10,-114,-91.94,310,72,30.25,0.2473,-0.0153,-5.83,3.58,0.221128,0.010224,-0.189594,0.348689,0.064242,2025-04-15,0.03,24,3.58,2025-04-15,2025-05-09,24
QQQ250509C00482000-2025-04-15,options-eod,QQQ250509C00482000,QQQ,2025-05-09,weekly,call,482.0,NASDAQ,USD,4.86,4.94,3.63,3.87,1,-1.46,-27.39,5.33,2025-04-14,3.82,2025-04-15 20:14:59,37,3.9,2025-04-15 20:14:59,53,-0.050000000000000044,21,15,250.0,94,-2,-2.08,0.2496,-0.015,-5.67,3.87,0.233218,0.010438,-0.197333,0.359308,0.067692,2025-04-15,0.22,24,3.86,2025-04-15,2025-05-09,24
QQQ250509C00481000-2025-04-15,options-eod,QQQ250509C00481000,QQQ,2025-05-09,weekly,call,481.0,NASDAQ,USD,5.1,5.2,3.9,4.1,1,-0.7,-14.58,4.8,2025-04-14,4.1,2025-04-15 20:14:59,62,4.19,2025-04-15 20:14:59,43,-0.050000000000000044,27,22,440.0,156,2,1.3,0.2499,-0.0164,-6.15,4.1,0.243565,0.010675,-0.202529,0.367949,0.070657,2025-04-15,0.17,24,4.15,2025-04-15,2025-05-09,24
QQQ250509C00480000-2025-04-15,options-eod,QQQ250509C00480000,QQQ,2025-05-09,weekly,call,480.0,NASDAQ,USD,5.31,5.93,4.11,4.32,1,-0.94,-17.87,5.26,2025-04-14,4.41,2025-04-15 20:14:59,93,4.5,2025-04-15 20:14:59,31,-0.050000000000000044,123,-90,-42.25,624,1,0.16,0.2533,-0.0153,-5.7,4.46,0.25695,0.010837,-0.211274,0.378533,0.074454,2025-04-15,0.2,24,4.46,2025-04-15,2025-05-09,24
QQQ250509C00479000-2025-04-15,options-eod,QQQ250509C00479000,QQQ,2025-05-09,weekly,call,479.0,NASDAQ,USD,6.01,6.1,4.49,4.72,1,-1.46,-23.62,6.18,2025-04-14,4.73,2025-04-15 20:14:59,46,4.82,2025-04-15 20:14:59,27,-0.050000000000000044,27,26,2600.0,142,0,0.0,0.2553,-0.0156,-5.75,4.78,0.269218,0.01101,-0.218279,0.38766,0.077938,2025-04-15,0.19,24,4.78,2025-04-15,2025-05-09,24
QQQ250509C00478000-2025-04-15,options-eod,QQQ250509C00478000,QQQ,2025-05-09,weekly,call,478.0,NASDAQ,USD,6.39,6.39,4.97,4.97,1,-0.97,-16.33,5.94,2025-04-14,5.07,2025-04-15 20:14:59,20,5.16,2025-04-15 20:14:59,30,-0.040000000000000036,125,119,1983.33,111,-3,-2.63,0.2575,-0.0153,-5.59,5.12,0.281734,0.011162,-0.225312,0.39642,0.081484,2025-04-15,1.13,24,5.12,2025-04-15,2025-05-09,24
QQQ250509C00477500-2025-04-15,options-eod,QQQ250509C00477500,QQQ,2025-05-09,weekly,call,477.5,NASDAQ,USD,6.71,6.71,4.8,5.24,1,-1.33,-20.24,6.57,2025-04-14,5.24,2025-04-15 20:14:59,39,5.34,2025-04-15 20:14:59,55,-0.040000000000000036,50,47,1566.67,135,2,1.5,0.2574,-0.0168,-6.13,5.24,0.286986,0.011267,-0.227305,0.399933,0.082983,2025-04-15,0.37,24,5.29,2025-04-15,2025-05-09,24
QQQ250509C00477000-2025-04-15,options-eod,QQQ250509C00477000,QQQ,2025-05-09,weekly,call,477.0,NASDAQ,USD,6.25,6.28,5.21,5.21,1,-1.39,-21.06,6.6,2025-04-14,5.42,2025-04-15 20:14:59,19,5.51,2025-04-15 20:14:59,17,-0.040000000000000036,83,64,336.84,720,0,0.0,0.2597,-0.0154,-5.61,5.47,0.294255,0.0113,-0.232053,0.404638,0.085024,2025-04-15,0.12,24,5.47,2025-04-15,2025-05-09,24
QQQ250509C00476000-2025-04-15,options-eod,QQQ250509C00476000,QQQ,2025-05-09,weekly,call,476.0,NASDAQ,USD,6.8,7.5,6.29,6.65,60,-0.15,-2.21,6.8,2025-04-14,5.78,2025-04-15 20:14:59,61,5.88,2025-04-15 20:14:59,21,-0.040000000000000036,290,231,391.53,233,7,3.1,0.2618,-0.0156,-5.62,5.83,0.306869,0.011422,-0.238638,0.412376,0.088583,2025-04-15,1.24,24,5.83,2025-04-15,2025-05-09,24
