id,type,attributes.contract,attributes.underlying_symbol,attributes.exp_date,attributes.expiration_type,attributes.type,attributes.strike,attributes.exchange,attributes.currency,attributes.open,attributes.high,attributes.low,attributes.last,attributes.last_size,attributes.change,attributes.pctchange,attributes.previous,attributes.previous_date,attributes.bid,attributes.bid_date,attributes.bid_size,attributes.ask,attributes.ask_date,attributes.ask_size,attributes.moneyness,attributes.volume,attributes.volume_change,attributes.volume_pctchange,attributes.open_interest,attributes.open_interest_change,attributes.open_interest_pctchange,attributes.volatility,attributes.volatility_change,attributes.volatility_pctchange,attributes.theoretical,attributes.delta,attributes.gamma,attributes.theta,attributes.vega,attributes.rho,attributes.tradetime,attributes.vol_oi_ratio,attributes.dte,attributes.midpoint,dte
QQQ240416C00372000-2024-04-16,options-eod,QQQ240416C00372000,QQQ,2024-04-16,weekly,call,372.0,NASDAQ,USD,58.97,58.97,58.97,58.97,1.0,,,,,58.87,2024-04-16 15:14:59,2.0,59.43,2024-04-16 15:14:59,1,,2.0,,,2.0,,,1.4446,,,59.43,0.977429,0.001656,-0.930273,0.012013,0.009772,2024-04-16,,,,
QQQ240416C00374000-2024-04-16,options-eod,QQQ240416C00374000,QQQ,2024-04-16,weekly,call,374.0,NASDAQ,USD,,,,,,,,,,56.68,2024-04-16 15:14:59,2.0,57.43,2024-04-16 15:14:59,1,,,,,,,,1.3997,,,57.43,0.976794,0.00175,-0.923293,0.012297,0.009819,2024-04-16,,,,
QQQ240416C00373000-2024-04-16,options-eod,QQQ240416C00373000,QQQ,2024-04-16,weekly,call,373.0,NASDAQ,USD,,,,,,,,,,57.87,2024-04-16 15:14:59,2.0,58.43,2024-04-16 15:14:59,1,,,,,,,,1.4221,,,58.43,0.977116,0.001702,-0.926806,0.012153,0.009796,2024-04-16,,,,
QQQ240416C00376000-2024-04-16,options-eod,QQQ240416C00376000,QQQ,2024-04-16,weekly,call,376.0,NASDAQ,USD,,,,,,,,,,54.47,2024-04-16 15:14:59,2.0,55.43,2024-04-16 15:14:59,1,,,,,,,,1.3548,,,55.43,0.976121,0.001852,-0.916106,0.012597,0.009865,2024-04-16,,,,
QQQ240416C00378000-2024-04-16,options-eod,QQQ240416C00378000,QQQ,2024-04-16,weekly,call,378.0,NASDAQ,USD,,,,,,,,,,52.68,2024-04-16 15:14:59,2.0,53.43,2024-04-16 15:14:59,1,,,,,,,,1.3099,,,53.43,0.975407,0.001963,-0.908698,0.012912,0.009911,2024-04-16,,,,
QQQ240416C00377000-2024-04-16,options-eod,QQQ240416C00377000,QQQ,2024-04-16,weekly,call,377.0,NASDAQ,USD,,,,,,,,,,53.7,2024-04-16 15:14:59,2.0,54.43,2024-04-16 15:14:59,1,,,,,,,,1.3323,,,54.43,0.975769,0.001906,-0.912432,0.012752,0.009888,2024-04-16,,,,
QQQ240416C00375000-2024-04-16,options-eod,QQQ240416C00375000,QQQ,2024-04-16,weekly,call,375.0,NASDAQ,USD,,,,,,,,,,55.68,2024-04-16 15:14:59,2.0,56.43,2024-04-16 15:14:59,1,,,,,,,,1.3772,,,56.43,0.976463,0.0018,-0.919724,0.012445,0.009842,2024-04-16,,,,
QQQ240416C00390000-2024-04-16,options-eod,QQQ240416C00390000,QQQ,2024-04-16,weekly,call,390.0,NASDAQ,USD,41.45,41.45,41.45,41.45,5.0,,,,,40.05,2024-04-16 15:14:59,1.0,41.43,2024-04-16 15:14:59,1,,5.0,,,5.0,,,1.0419,,,41.43,0.969957,0.002917,-0.858572,0.015259,0.010171,2024-04-16,,,,
QQQ240416C00394000-2024-04-16,options-eod,QQQ240416C00394000,QQQ,2024-04-16,weekly,call,394.0,NASDAQ,USD,,,,,,,,,,36.28,2024-04-16 15:14:59,1.0,37.43,2024-04-16 15:14:59,1,,,,,,,,0.9525,,,37.43,0.967516,0.003404,-0.839077,0.016278,0.010251,2024-04-16,,,,
QQQ240416C00397000-2024-04-16,options-eod,QQQ240416C00397000,QQQ,2024-04-16,weekly,call,397.0,NASDAQ,USD,34.64,34.64,34.64,34.64,1.0,,,,,33.28,2024-04-16 15:14:59,1.0,34.43,2024-04-16 15:14:59,1,,1.0,,,,,,0.8854,,,34.43,0.965385,0.003858,-0.823241,0.017152,0.010307,2024-04-16,,,,
QQQ240416C00398000-2024-04-16,options-eod,QQQ240416C00398000,QQQ,2024-04-16,weekly,call,398.0,NASDAQ,USD,,,,,,,,,,32.28,2024-04-16 15:14:59,1.0,33.43,2024-04-16 15:14:59,1,,,,,,,,0.863,,,33.43,0.964605,0.004032,-0.817698,0.017469,0.010325,2024-04-16,,,,
QQQ240416C00399000-2024-04-16,options-eod,QQQ240416C00399000,QQQ,2024-04-16,weekly,call,399.0,NASDAQ,USD,,,,,,,,,,31.28,2024-04-16 15:14:59,1.0,32.43,2024-04-16 15:14:59,1,,,,,,,,0.8406,,,32.43,0.963786,0.004218,-0.812006,0.017799,0.010343,2024-04-16,,,,
QQQ240416C00395000-2024-04-16,options-eod,QQQ240416C00395000,QQQ,2024-04-16,weekly,call,395.0,NASDAQ,USD,37.47,37.47,37.47,37.47,1.0,,,,,35.28,2024-04-16 15:14:59,1.0,36.43,2024-04-16 15:14:59,1,,1.0,,,,,,0.9302,,,36.43,0.966838,0.003545,-0.833922,0.016558,0.01027,2024-04-16,,,,
QQQ240416C00393000-2024-04-16,options-eod,QQQ240416C00393000,QQQ,2024-04-16,weekly,call,393.0,NASDAQ,USD,,,,,,,,,,37.28,2024-04-16 15:14:59,1.0,38.43,2024-04-16 15:14:59,1,,,,,1.0,,,0.9749,,,38.43,0.968166,0.003271,-0.844111,0.016009,0.010232,2024-04-16,,,,
QQQ240416C00391000-2024-04-16,options-eod,QQQ240416C00391000,QQQ,2024-04-16,weekly,call,391.0,NASDAQ,USD,,,,,,,,,,38.28,2024-04-16 15:14:59,1.0,40.43,2024-04-16 15:14:59,2,,,,,1.0,,,1.0195,,,40.43,0.969385,0.003028,-0.853852,0.0155,0.010192,2024-04-16,,,,
QQQ240416C00392000-2024-04-16,options-eod,QQQ240416C00392000,QQQ,2024-04-16,weekly,call,392.0,NASDAQ,USD,,,,,,,,,,38.28,2024-04-16 15:14:59,1.0,39.43,2024-04-16 15:14:59,1,,,,,,,,0.9972,,,39.43,0.968788,0.003146,-0.849036,0.01575,0.010212,2024-04-16,,,,
