id,type,attributes.contract,attributes.underlying_symbol,attributes.exp_date,attributes.expiration_type,attributes.type,attributes.strike,attributes.exchange,attributes.currency,attributes.open,attributes.high,attributes.low,attributes.last,attributes.last_size,attributes.change,attributes.pctchange,attributes.previous,attributes.previous_date,attributes.bid,attributes.bid_date,attributes.bid_size,attributes.ask,attributes.ask_date,attributes.ask_size,attributes.moneyness,attributes.volume,attributes.volume_change,attributes.volume_pctchange,attributes.open_interest,attributes.open_interest_change,attributes.open_interest_pctchange,attributes.volatility,attributes.volatility_change,attributes.volatility_pctchange,attributes.theoretical,attributes.delta,attributes.gamma,attributes.theta,attributes.vega,attributes.rho,attributes.tradetime,attributes.vol_oi_ratio,attributes.dte,attributes.midpoint,exp_date,trade_dt,dte
QQQ231002C00290000,options-contracts,QQQ231002C00290000,QQQ,2023-10-02,weekly,call,290.0,NASDAQ,USD,70.94,70.94,70.94,70.94,1.0,,,,,70.91,2023-10-02 15:14:59,5.0,72.2,2023-10-02 15:14:59,10.0,,1.0,,,,,,2.5714,,,72.2,0.956567,0.001907,-0.999999,0.017291,0.007381,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00393000,options-contracts,QQQ231002C00393000,QQQ,2023-10-02,weekly,call,393.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:55,,0.01,2023-10-02 15:14:55,601.0,,,,,26.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00392000,options-contracts,QQQ231002C00392000,QQQ,2023-10-02,weekly,call,392.0,NASDAQ,USD,0.01,0.01,0.01,0.01,7.0,,,,,,2023-10-02 15:14:55,,0.01,2023-10-02 15:14:55,600.0,,7.0,,,35.0,,,0.5701,,,0.01,0.003106,0.000881,-0.051436,0.001773,3e-05,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00391000,options-contracts,QQQ231002C00391000,QQQ,2023-10-02,weekly,call,391.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:55,,0.01,2023-10-02 15:14:55,601.0,,,,,16.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00390000,options-contracts,QQQ231002C00390000,QQQ,2023-10-02,weekly,call,390.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:55,,0.01,2023-10-02 15:14:55,658.0,,,,,120.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00389000,options-contracts,QQQ231002C00389000,QQQ,2023-10-02,weekly,call,389.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:55,,0.01,2023-10-02 15:14:55,600.0,,,,,116.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00388000,options-contracts,QQQ231002C00388000,QQQ,2023-10-02,weekly,call,388.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:55,,0.01,2023-10-02 15:14:55,601.0,,,,,9.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00387000,options-contracts,QQQ231002C00387000,QQQ,2023-10-02,weekly,call,387.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:59,,0.01,2023-10-02 15:14:59,600.0,,,,,5.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00386000,options-contracts,QQQ231002C00386000,QQQ,2023-10-02,weekly,call,386.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:55,,0.01,2023-10-02 15:14:55,600.0,,,,,56.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
QQQ231002C00385000,options-contracts,QQQ231002C00385000,QQQ,2023-10-02,weekly,call,385.0,NASDAQ,USD,,,,,,,,,,,2023-10-02 15:14:55,,0.01,2023-10-02 15:14:55,601.0,,,,,836.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,,,,2023-10-02,2025-04-16,-562
