Date,Close/Last,Volume,Open,High,Low,type,strike,open,high,low,last,last_size,change,pctchange,previous,bid,bid_size,ask,ask_size,moneyness,volume,volume_change,volume_pctchange,open_interest,open_interest_change,open_interest_pctchange,volatility,volatility_change,volatility_pctchange,theoretical,delta,gamma,theta,vega,rho,vol_oi_ratio,dte,midpoint
2025-04-10,9.63,686331800,10.915,11.14,8.35,put,13.5,2.8,4.64,2.73,4.21,1,0.0,0.0,4.21,3.45,8,4.8,13,0.32,0,0,0.0,1821,0,0.0,2.517,0.0,0.0,4.21,-0.786541,0.086863,-0.068674,0.003879,-0.001734,0.0,7,4.13
2025-04-10,9.63,686331800,10.915,11.14,8.35,call,13.0,0.49,0.6,0.15,0.28,5,0.0,0.0,0.28,0.21,10,0.3,17,-0.27,0,0,0.0,5380,0,0.0,2.1692,0.0,0.0,0.28,0.19877,0.096414,-0.057829,0.00372,0.000313,0.0,7,0.26
2025-04-10,9.63,686331800,10.915,11.14,8.35,put,13.0,2.47,4.7,2.16,3.86,2,0.0,0.0,3.86,3.45,7,4.1,11,0.27,0,0,0.0,5692,0,0.0,2.7041,0.0,0.0,3.86,-0.730139,0.091799,-0.084106,0.004408,-0.001665,0.0,7,3.78
2025-04-10,9.63,686331800,10.915,11.14,8.35,call,8.5,2.76,2.76,1.28,1.86,3,0.0,0.0,1.86,1.83,20,1.9,7,0.17,0,0,0.0,601,0,0.0,2.4261,0.0,0.0,1.86,0.706098,0.106475,-0.080186,0.004593,0.000947,0.0,7,1.87
2025-04-10,9.63,686331800,10.915,11.14,8.35,call,9.0,2.52,2.55,1.0,1.54,1,0.0,0.0,1.54,1.52,6,1.58,16,0.12,0,0,0.0,2655,0,0.0,2.3327,0.0,0.0,1.54,0.645635,0.119616,-0.083226,0.004962,0.000897,0.0,7,1.55
2025-04-10,9.63,686331800,10.915,11.14,8.35,call,9.5,1.95,1.95,0.81,1.26,1,0.0,0.0,1.26,1.26,17,1.3,7,0.07,0,0,0.0,686,0,0.0,2.2618,0.0,0.0,1.26,0.580298,0.129595,-0.084716,0.005212,0.00083,0.0,7,1.28
2025-04-10,9.63,686331800,10.915,11.14,8.35,call,10.0,1.9,1.91,0.61,1.02,1,0.0,0.0,1.02,1.03,1,1.06,20,0.02,0,0,0.0,4441,0,0.0,2.2554,0.0,0.0,1.05,0.51519,0.132564,-0.086107,0.005316,0.000751,0.0,7,1.05
2025-04-10,9.63,686331800,10.915,11.14,8.35,call,10.5,1.57,1.59,0.5,0.82,1,0.0,0.0,0.82,0.8,22,0.85,22,-0.03,0,0,0.0,1086,0,0.0,2.1719,0.0,0.0,0.82,0.446513,0.136517,-0.082202,0.005272,0.000667,0.0,7,0.83
2025-04-10,9.63,686331800,10.915,11.14,8.35,call,11.0,1.27,1.31,0.4,0.65,9,0.0,0.0,0.65,0.65,64,0.67,29,-0.0799999999999999,0,0,0.0,10936,0,0.0,2.1364,0.0,0.0,0.65,0.382498,0.133923,-0.077997,0.005088,0.000582,0.0,7,0.66
2025-04-10,9.63,686331800,10.915,11.14,8.35,call,11.5,1.0,1.18,0.3,0.52,2,0.0,0.0,0.52,0.51,5,0.54,22,-0.12,0,0,0.0,2639,0,0.0,2.1273,0.0,0.0,0.52,0.325502,0.126957,-0.073288,0.004803,0.000501,0.0,7,0.53
