Date,Close/Last,Volume,Open,High,Low
04/11/2025,10.23,412972900,9.35,10.39,8.91
04/10/2025,9.63,686331800,10.915,11.14,8.35
04/09/2025,12.77,787748800,8.475,13.11,8.24
04/08/2025,8.25,488735500,10.41,10.84,7.60
04/07/2025,9.15,723467300,7.88,10.98,7.225
04/04/2025,8.73,499158100,10.05,10.4299,8.175
04/03/2025,11.41,302517400,13.81,14.12,11.40
04/02/2025,16.26,141655200,15.19,16.89,15.03
04/01/2025,15.95,106085000,15.725,15.99,14.825
03/31/2025,15.95,111345600,15.07,15.9761,14.40
03/28/2025,16.03,138232400,17.33,17.59,15.74
03/27/2025,17.76,103112800,18.165,18.4099,17.3601
03/26/2025,18.79,95647340,20.30,20.51,18.20
03/25/2025,20.55,57784410,20.83,21.0199,20.35
03/24/2025,21.00,91671320,20.48,21.3651,20.37
03/21/2025,19.28,84348320,18.82,19.4864,18.37
03/20/2025,19.93,80380580,19.61,20.57,19.5854
03/19/2025,20.38,83249650,19.89,21.37,19.46
03/18/2025,19.93,79140870,20.19,20.40,19.52
03/17/2025,20.79,82794210,19.51,21.28,19.50
03/14/2025,19.80,99718710,19.06,19.93,18.99
03/13/2025,18.09,117160200,18.38,19.2699,17.575
03/12/2025,18.30,137654500,18.54,19.11,17.9038
03/11/2025,17.41,161267000,18.05,18.495,16.51
03/10/2025,17.99,169215200,19.34,19.80,17.10
03/07/2025,20.88,139349200,19.50,21.0899,18.75
03/06/2025,19.23,164277600,19.71,21.02,19.01
03/05/2025,21.95,117702400,21.25,22.16,20.12
03/04/2025,20.65,154119800,20.28,22.261,19.00
03/03/2025,20.51,141822100,23.715,23.73,19.71
02/28/2025,22.73,110939400,21.80,23.2199,21.0201
02/27/2025,21.75,144841600,26.78,26.90,21.7301
02/26/2025,26.29,75869460,25.99,27.00,25.52
02/25/2025,25.07,90907490,26.655,26.92,24.82
02/24/2025,26.76,63724100,29.16,29.26,26.66
02/21/2025,28.81,61966470,31.905,31.96,28.40
02/20/2025,31.70,50903180,32.06,32.64,30.70
02/19/2025,31.47,58412710,30.19,31.89,29.7601
02/18/2025,29.99,60222220,29.20,30.23,28.71
02/14/2025,28.55,43089590,28.485,28.82,28.105
02/13/2025,28.47,61026260,27.49,28.55,27.40
02/12/2025,27.54,57999330,26.18,27.54,25.95
02/11/2025,27.40,43880480,26.68,27.90,26.68
02/10/2025,27.35,53330530,26.92,27.55,26.90
02/07/2025,26.33,87930830,27.87,28.28,25.80
02/06/2025,27.69,59735110,27.17,27.80,26.7207
02/05/2025,27.70,70330720,26.09,27.9499,25.54
02/04/2025,26.25,60520490,25.34,26.60,25.20
02/03/2025,25.61,103914300,24.80,26.49,24.31
01/31/2025,27.02,102622500,27.63,29.25,26.70
